job,alkali,cell,c_A,delta_A,total_mag_muB,abs_mag_muB,converged,m_Co_max_muB,m_Co_sum_muB,m_Li_max_muB,m_Li_sum_muB,m_Na_max_muB,m_Na_sum_muB,m_O_max_muB,m_O_sum_muB
Li_1x1_c5.5_d0.00,Li,1x1,5.5,0.0,-0.0,0.0,True,-0.0,0.0,-0.0,0.0,,,0.0001,0.0002
Li_1x1_c5.5_d0.15,Li,1x1,5.5,0.15,0.0,0.0,True,-0.0,0.0,0.0,0.0,,,0.0,0.0
Li_1x1_c5.5_d0.30,Li,1x1,5.5,0.3,0.0,0.0,True,0.0001,0.0001,0.0,0.0,,,-0.0001,-0.0002
Li_1x1_c5.5_d0.50,Li,1x1,5.5,0.5,-0.0,0.0,True,-0.0,0.0,-0.0,0.0,,,0.0001,0.0001
Li_1x1_c5.5_d0.75,Li,1x1,5.5,0.75,-0.0,0.0,True,-0.0,0.0,-0.0,0.0,,,-0.0,0.0
Li_1x1_c5.5_d1.00,Li,1x1,5.5,1.0,-0.0,0.0,True,-0.0,0.0,-0.0,0.0,,,0.0,0.0
Li_1x1_c6.9_d0.00,Li,1x1,6.9,0.0,0.16,0.53,True,0.2784,0.2784,-0.058,-0.058,,,0.0181,0.035500000000000004
Li_1x1_c6.9_d0.15,Li,1x1,6.9,0.15,0.16,0.5,True,0.27,0.27,-0.0667,-0.0667,,,0.0181,0.0345
Li_1x1_c6.9_d0.30,Li,1x1,6.9,0.3,0.16,0.48,True,0.2609,0.2609,-0.0684,-0.0684,,,0.0188,0.0337
Li_1x1_c6.9_d0.50,Li,1x1,6.9,0.5,0.16,0.45,True,0.2463,0.2463,-0.0471,-0.0471,,,0.0197,0.0331
Li_1x1_c6.9_d0.75,Li,1x1,6.9,0.75,0.16,0.39,True,0.2198,0.2198,-0.0258,-0.0258,,,0.0203,0.0324
Li_1x1_c6.9_d1.00,Li,1x1,6.9,1.0,0.15,0.3,True,0.1769,0.1769,-0.0108,-0.0108,,,0.0184,0.028999999999999998
Li_1x1_c8.4_d0.00,Li,1x1,8.4,0.0,0.66,0.8,True,0.5479,0.5479,-0.0309,-0.0309,,,0.0626,0.124
Li_1x1_c8.4_d0.15,Li,1x1,8.4,0.15,0.65,0.8,True,0.5425,0.5425,-0.0316,-0.0316,,,0.0627,0.12290000000000001
Li_1x1_c8.4_d0.30,Li,1x1,8.4,0.3,0.64,0.78,True,0.5313,0.5313,-0.0298,-0.0298,,,0.0631,0.12010000000000001
Li_1x1_c8.4_d0.50,Li,1x1,8.4,0.5,0.61,0.74,True,0.5045,0.5045,-0.0281,-0.0281,,,0.062,0.11349999999999999
Li_1x1_c8.4_d0.75,Li,1x1,8.4,0.75,0.55,0.67,True,0.4542,0.4542,-0.0268,-0.0268,,,0.0581,0.1007
Li_1x1_c8.4_d1.00,Li,1x1,8.4,1.0,0.45,0.59,True,0.3937,0.3937,-0.0292,-0.0292,,,0.0518,0.0838
Li_1x1_c9.9_d0.00,Li,1x1,9.9,0.0,0.95,0.96,True,0.6767,0.6767,0.0167,0.0167,,,0.081,0.1617
Li_1x1_c9.9_d0.15,Li,1x1,9.9,0.15,0.95,0.96,True,0.6757,0.6757,0.0183,0.0183,,,0.0819,0.1615
Li_1x1_c9.9_d0.30,Li,1x1,9.9,0.3,0.97,0.98,True,0.6733,0.6733,0.0276,0.0276,,,0.0826,0.16060000000000002
Li_1x1_c9.9_d0.50,Li,1x1,9.9,0.5,0.9,0.92,True,,,,,,,,
Li_1x1_c9.9_d0.75,Li,1x1,9.9,0.75,0.75,0.99,True,0.6463,0.6463,-0.0516,-0.0516,,,0.0826,0.1537
Li_1x1_c9.9_d1.00,Li,1x1,9.9,1.0,0.74,0.93,True,0.6204,0.6204,-0.0405,-0.0405,,,0.081,0.14679999999999999
Na_1x1_c5.5_d0.00,Na,1x1,5.5,0.0,0.16,0.17,True,0.1292,0.1292,,,0.0006,0.0006,0.0117,0.0194
Na_1x1_c5.5_d0.15,Na,1x1,5.5,0.15,0.0,0.0,True,0.0,0.0,,,-0.0,0.0,0.0,0.0
Na_1x1_c5.5_d0.30,Na,1x1,5.5,0.3,0.0,0.0,True,0.0001,0.0001,,,0.0,0.0,-0.0001,-0.0001
Na_1x1_c5.5_d0.50,Na,1x1,5.5,0.5,-0.0,0.0,True,-0.0001,-0.0001,,,0.0,0.0,0.0,0.0
Na_1x1_c5.5_d0.75,Na,1x1,5.5,0.75,-0.0,0.0,True,-0.0,0.0,,,0.0,0.0,-0.0,0.0
Na_1x1_c5.5_d1.00,Na,1x1,5.5,1.0,0.0,0.0,True,0.0001,0.0001,,,-0.0,0.0,-0.0002,-0.0002
Na_1x1_c6.9_d0.00,Na,1x1,6.9,0.0,0.19,0.26,True,0.1868,0.1868,,,-0.008,-0.008,0.0105,0.0205
Na_1x1_c6.9_d0.15,Na,1x1,6.9,0.15,0.19,0.25,True,0.1826,0.1826,,,-0.0101,-0.0101,0.0107,0.019999999999999997
Na_1x1_c6.9_d0.30,Na,1x1,6.9,0.3,0.18,0.24,True,0.1756,0.1756,,,-0.011,-0.011,0.011,0.0197
Na_1x1_c6.9_d0.50,Na,1x1,6.9,0.5,-0.17,0.23,True,-0.1654,-0.1654,,,0.0077,0.0077,-0.0114,-0.0195
Na_1x1_c6.9_d0.75,Na,1x1,6.9,0.75,0.16,0.21,True,0.1478,0.1478,,,-0.0042,-0.0042,0.0119,0.0194
Na_1x1_c6.9_d1.00,Na,1x1,6.9,1.0,0.14,0.17,True,0.1207,0.1207,,,-0.0013,-0.0013,0.0112,0.018099999999999998
Na_1x1_c8.4_d0.00,Na,1x1,8.4,0.0,0.68,0.71,True,0.5358,0.5358,,,-0.0028,-0.0028,0.0531,0.1054
Na_1x1_c8.4_d0.15,Na,1x1,8.4,0.15,0.68,0.7,True,0.5325,0.5325,,,-0.0026,-0.0026,0.0537,0.105
Na_1x1_c8.4_d0.30,Na,1x1,8.4,0.3,0.67,0.69,True,0.5246,0.5246,,,-0.0019,-0.0019,0.0545,0.10350000000000001
Na_1x1_c8.4_d0.50,Na,1x1,8.4,0.5,0.65,0.67,True,0.5042,0.5042,,,-0.0012,-0.0012,0.0546,0.1001
Na_1x1_c8.4_d0.75,Na,1x1,8.4,0.75,0.58,0.61,True,0.4571,0.4571,,,-0.0034,-0.0034,0.0518,0.0907
Na_1x1_c8.4_d1.00,Na,1x1,8.4,1.0,0.49,0.54,True,0.395,0.395,,,-0.0077,-0.0077,0.0471,0.07730000000000001
Na_1x1_c9.9_d0.00,Na,1x1,9.9,0.0,0.78,0.94,True,0.651,0.651,,,-0.0269,-0.0269,0.0696,0.139
Na_1x1_c9.9_d0.15,Na,1x1,9.9,0.15,0.78,0.93,True,0.6498,0.6498,,,-0.0269,-0.0269,0.0707,0.1386
Na_1x1_c9.9_d0.30,Na,1x1,9.9,0.3,0.78,0.92,True,0.6462,0.6462,,,-0.0253,-0.0253,0.0718,0.1378
