c,c_lat,alpha,beta,d_min,depth_eV,rms_eV,n_pts,d_range
4.715,4.992713124598566,1.451628577673885,0.47046972308083956,0.0,0.0,0.0005637146394441349,5,0.5
4.771,5.045213815738049,1.2886306584089573,0.543979158579284,0.0,0.0,0.0005479435362524198,5,0.5
4.826,5.097779260422676,1.127582800917828,0.6130692920663507,0.0,0.0,0.0005950448968457458,5,0.5
4.882,5.150407476014226,0.9695368291099798,0.6786392183928032,0.0,0.0,0.0007485955574035404,5,0.5
4.937,5.203096557769907,0.8196557325373124,0.7222418845058072,0.0,0.0,0.0007539729623534997,5,0.5
4.993,5.255844675166595,0.669625756700353,0.7849921098397391,0.0,0.0,0.0008236826688719605,5,0.5
5.049,5.308650068424479,0.5245272045917143,0.824231136976835,0.0,0.0,0.0009746896821617312,5,0.5
5.104,5.36151104521809,0.387414502878101,0.8618557050380182,0.0,0.0,0.0009642266814758056,5,0.5
5.16,5.414425977563466,0.25554890836696564,0.8871224058628976,0.0,0.0,0.001079814125733839,5,0.5
5.215,5.467393298870933,0.32014350617546816,0.403604516279029,0.0,0.0,0.014273199806275252,14,1.2
5.293,5.541632701663267,0.1649570884704631,0.4215310040772115,0.0,0.0,0.01380735246684553,10,1.2
5.371,5.615967884628683,0.007065678861946693,0.44132880305504346,0.0,0.0,0.012701820193853824,10,1.2
5.449,5.690395094160852,-0.14291317157464115,0.46237008773579996,0.39312101971610286,0.011043196322203085,0.011365510203900338,10,1.2
5.526,5.764910765966038,-0.2816952346972127,0.4748711570050513,0.5446115610553561,0.04177565013191234,0.009953043023912247,10,1.2
5.604,5.839511513550124,-0.409251354638892,0.4823148767606879,0.6513504778844957,0.0868139670492015,0.0084531664516883,10,1.2
5.682,5.914194117515073,-0.5249502113732447,0.483785722154752,0.7365759526610022,0.14240432892140256,0.007159932898684806,10,1.2
5.76,5.988955515600982,-0.6287227432403455,0.48030144322393836,0.8090169889946041,0.20575218617621463,0.005791371027213389,10,1.2
5.837,6.063792793415442,-0.7197831155545368,0.47071085079912445,0.8743971325412102,0.2751624126349752,0.0046495408662391245,10,1.2
5.915,6.138703175796887,-0.802042734545611,0.46174610708194846,0.9319275170767354,0.34828260497020097,0.002782838100415691,25,1.2
