c,c_lat,alpha,beta,d_min,depth_eV,rms_eV,n_pts,d_range
5.55,5.800223660975117,1.2831724286986994,0.8307502158569008,0.0,0.0,0.02968827871870386,10,1.2
5.65,5.8959784841309935,0.9939480521449164,0.822242486127929,0.0,0.0,0.02436259733566437,10,1.2
5.75,5.991871999078051,0.7018144438119084,0.8255053578542391,0.0,0.0,0.019953791061184497,10,1.2
5.85,6.08789765200891,0.43529296539846085,0.8197077805648626,0.0,0.0,0.016106420774468114,10,1.2
5.95,6.1840492874277455,0.24715385138093993,0.7651839035926308,0.0,0.0,0.018768049312623155,10,1.2
6.05,6.280321118966418,0.03550913986702018,0.7426815931982326,0.0,0.0,0.016126491796190037,10,1.2
6.15,6.376707702673505,-0.14675023219976518,0.7124386172945555,0.32092287535266806,0.007557012677269416,0.013751743201923577,10,1.2
6.25,6.473203912540961,-0.24561975671256922,0.6342318987649606,0.4400404600308758,0.023780365275311938,0.01812123765310889,10,1.2
6.35,6.569804918057734,-0.37829274927415796,0.5968251114591477,0.5629573152766645,0.05994444662504637,0.015927331230237176,10,1.2
6.45,6.666506163601411,-0.42023439540955937,0.5074061447797716,0.6435065012580521,0.08700966124576885,0.018385464614898903,10,1.2
6.528,6.741784784168925,-0.49763899146099394,0.4831283591767142,0.7176471051617281,0.12814636168549468,0.017118993460231182,10,1.2
6.605,6.8171195154698445,-0.5589289865778463,0.45335070997361326,0.7851383096521588,0.17227369736286574,0.01548500041476503,10,1.2
6.683,6.892508517642909,-0.6085759049354806,0.42299221670716486,0.8481568830078251,0.21889565424583243,0.01389471864010642,10,1.2
6.761,6.967950029154371,-0.5976241194002001,0.36031314819919524,0.9106657547947249,0.24780846180182659,0.014601429614636006,10,1.2
6.839,7.043442362739744,-0.6322158430445267,0.33333503323578056,0.9738166811149769,0.29977112540236717,0.012951248707891742,10,1.2
6.917,7.118983901591109,-0.6605763496955981,0.3080744778750463,1.035425012724991,0.35410358948506215,0.011330276365412409,10,1.2
6.994,7.194573095773093,-0.6620212240006633,0.28318307550374255,1.0811533829329014,0.38691586727747806,0.014739320585944056,10,1.2
7.072,7.270208458851971,-0.6743520786694033,0.25699779029388514,1.1454170878583898,0.44236832297830575,0.01287678855361967,10,1.2
7.15,7.345888564723508,-0.6812872936457535,0.23250142955577333,1.2104234615715026,0.49908550817298575,0.011019727285111504,10,1.2
